Lowongan Kerja Menurut Kategori Lapangan Usaha (KBLI Digit 1) Tahun 2022-2024,,,,,,
,,,,,,
Kategori Lapangan Usaha,2022,,2023,,2024,
,Postingan Lowongan,Kuota Lowongan,Postingan Lowongan,Kuota Lowongan,Postingan Lowongan,Kuota Lowongan
"A. Pertanian, Kehutanan dan Perikanan",63,416,107,763,49,455
B. Pertambangan dan Penggalian,187,"1,122",29,172,219,749
C. Industri Pengolahan,"2,217","52,084","1,618","20,852","1,823","27,219"
D. Pengadaan Listrik dan Gas,27,59,3,7,11,171
"E. Pengelolaan Air, Sampah dan Daur Ulang",1,1,9,15,121,453
F. Konstruksi,108,383,94,413,65,121
G. Perdagangan,"2,527","31,791","1,476","19,569","1,573","22,181"
H. Pengangkutan dan Pergudangan,344,"2,772",155,"13,591",314,"9,334"
I. Akomodasi dan Makan Minum,594,"1,555",327,520,302,963
J. Informasi dan Komunikasi,464,"5,425",233,"101,098",315,"2,550"
K. Aktivitas Keuangan dan Asuransi,"1,195","46,556",797,"15,962",726,"7,334"
L. Real Estat,288,"13,496",179,789,219,986
"M. Aktivitas Profesional, Ilmiah dan Teknis","1,083","42,819","13,832","30,715","10,362","20,621"
N. Aktivitas Penyewaan dan Ketenagakerjaan,"1,072","31,729",838,"127,148",679,"157,375"
"O. Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",,,19,21,18,26
P. Pendidikan,110,"35,256",87,"1,852",102,206
Q. Aktivitas Kesehatan dan Aktivitas Sosial,362,"1,264",171,549,222,948
"R. Kesenian, Hiburan dan Rekreasi",28,181,25,98,36,146
S. Aktivitas Jasa Lainnya,24,197,24,318,10,211
T. Aktivitas Rumah Tangga Sebagai Pemberi Kerja,,,0,0,3,114
U. Aktivitas Badan Internasional,1,1,4,8,0,0
Total,"10,695","267,107","20,027","334,460","17,169","252,163"
,,,,,,
Sumber: Karirhub,,,,,,