Lowongan Kerja Menurut Persyaratan Pendidikan Tahun 2022-2024,,,,,,
,,,,,,
Pendidikan,2022,,2023,,2024,
,Postingan Lowongan,Kuota Lowongan,Postingan Lowongan,Kuota Lowongan,Postingan Lowongan,Kuota Lowongan
SD ke bawah,73,"12,234",230,"41,855",80,"28,338"
SMP,141,"20,716",174,"30,634",135,"66,402"
SMA,"1,538","70,904","3,497","32,885","2,861","62,488"
SMK,"2,943","106,698","3,494","193,440","5,375","66,462"
Diploma I/II/III,"2,942","31,742","6,906","20,709","3,663","14,995"
"Diploma IV, S1, S2, S3","3,058","24,813","5,726","14,937","5,055","13,478"
Total,"10,695","267,107","20,027","334,460","17,169","252,163"
,,,,,,
Sumber : Karirhub,,,,,,