Pemberi Kerja Menurut Kategori Lapangan Usaha Tahun 2022-2024,,,
,,,
,,,
Kategori Lapangan Usaha (KBLI Digit 1),2022,2023,2024
"A. Pertanian, Kehutanan dan Perikanan",29,22,29
B. Pertambangan dan Penggalian,33,17,24
C. Industri Pengolahan,452,520,551
D. Pengadaan Listrik dan Gas,9,2,8
"E. Pengelolaan Air, Sampah dan Daur Ulang",1,6,31
F. Konstruksi,43,42,21
G. Perdagangan,519,465,538
H. Pengangkutan dan Pergudangan,49,56,79
I. Akomodasi dan Makan Minum,139,106,82
J. Informasi dan Komunikasi,65,88,96
K. Aktivitas Keuangan dan Asuransi,262,197,123
L. Real Estat,53,54,38
"M. Aktivitas Profesional, Ilmiah dan Teknis",132,221,103
N. Aktivitas Penyewaan dan Ketenagakerjaan,187,245,153
"O. Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",0,1,4
P. Pendidikan,41,53,39
Q. Aktivitas Kesehatan dan Aktivitas Sosial,82,63,65
"R. Kesenian, Hiburan dan Rekreasi",9,6,8
S. Aktivitas Jasa Lainnya,9,8,2
T. Aktivitas Rumah Tangga Sebagai Pemberi Kerja,0,0,1
U. Aktivitas Badan Internasional,1,3,0
Total,"2,099","2,138","1,990"
,,,
,,,
Sumber: Karirhub,,,