Pencari Kerja di Karirhub Menurut Provinsi Tahun 2022-2024,,,,,,
,,,,,,
Provinsi,2022,,2023,,2024,
,Laki-laki,Perempuan,Laki-laki,Perempuan,Laki-laki,Perempuan
Aceh,"3,975","2,309","2,045","1,889","1,426",876
Sumatera Utara,"14,580","12,766","9,430","11,046","6,127","5,788"
Sumatera Barat,"8,774","9,101","6,478","7,108","3,378","3,099"
Riau,"8,965","5,498","4,856","2,786","4,764","1,685"
Jambi,"5,508","3,797","4,790","2,672","2,755","1,371"
Sumatera Selatan,"13,259","8,011","11,673","7,610","7,568","3,936"
Bengkulu,"1,769","1,466","1,906","1,205","1,166",822
Lampung,"9,151","5,993","8,560","13,512","8,678","12,598"
Kepulauan Bangka Belitung,"1,438","1,384",465,494,449,334
Kepulauan Riau,"3,910","2,507","1,738","1,599","2,256","3,124"
DKI Jakarta,"18,982","11,272","9,663","6,768","7,820","5,792"
Jawa Barat,"135,312","110,748","94,762","109,690","94,129","108,270"
Jawa Tengah,"52,755","37,838","33,929","39,424","27,434","35,872"
D.I. Yogyakarta,"4,954","4,002","2,001","1,981","1,962","1,997"
Jawa Timur,"45,028","30,551","33,105","35,845","21,957","24,171"
Banten,"27,347","19,324","18,094","18,704","16,454","15,135"
Bali,"5,472","3,774","4,607","3,802","3,705","3,289"
Nusa Tenggara Barat,"5,996","2,688","25,175","7,345","23,495","6,186"
Nusa Tenggara Timur,"3,018","2,253","1,713","3,109","1,871","3,895"
Kalimantan Barat,"5,297","4,204","4,490","3,209","1,927","1,487"
Kalimantan Tengah,"5,884","2,364","5,339","2,433","4,659","1,864"
Kalimantan Selatan,"5,806","2,265","4,269","1,645","4,080","1,431"
Kalimantan Timur,"6,417","2,303","3,274","1,232","3,433","1,075"
Kalimantan Utara,844,583,570,366,980,340
Sulawesi Utara,"2,894","2,386","1,161",988,"1,035",743
Sulawesi Tengah,"6,095","3,330","5,299","2,657","9,815","3,666"
Sulawesi Selatan,"23,637","12,381","18,452","8,056","14,767","6,039"
Sulawesi Tenggara,"4,375","2,156","4,345","2,611","5,680","2,171"
Gorontalo,873,619,764,483,"1,231",573
Sulawesi Barat,"2,145","1,191","2,169","1,154","2,133",677
Maluku,"3,060","1,765","3,922","2,128","2,721","1,179"
Maluku Utara,"5,265","2,423","9,956","3,997","13,059","3,727"
Papua Barat,585,364,483,492,401,125
Papua,"1,168",393,587,591,997,810
Papua Selatan,,,58,21,21,10
Papua Tengah,,,182,92,35,15
Papua Pegunungan,,,23,10,4,0
Papua Barat Daya,,,177,108,69,25
Indonesia,"444,538","314,009","340,510","308,862","304,441","264,197"
,,,,,,
Sumber: Karirhub,,,,,,